Figure_2A | d_inf (dimensionless),Figure_2A | V (millivolt)
0.00183294,-52.25
0.00183538,-52.24
0.00183782,-52.23
0.00184027,-52.22
0.00184272,-52.21
0.00184518,-52.2
0.00184763,-52.19
0.00185009,-52.18
0.00185256,-52.17
0.00185503,-52.16
0.0018575,-52.15
0.00185997,-52.14
0.00186245,-52.13
0.00186493,-52.12
0.00186741,-52.11
0.0018699,-52.1
0.00187239,-52.09
0.00187488,-52.08
0.00187738,-52.07
0.00187988,-52.06
0.00188238,-52.05
0.00188489,-52.04
0.0018874,-52.03
0.00188991,-52.02
0.00189243,-52.01
0.00189495,-52
0.00189747,-51.99
0.0019,-51.98
0.00190253,-51.97
0.00190506,-51.96
0.0019076,-51.95
0.00191014,-51.94
0.00191268,-51.93
0.00191523,-51.92
0.00191778,-51.91
0.00192034,-51.9
0.00192289,-51.89
0.00192545,-51.88
0.00192802,-51.87
0.00193058,-51.86
0.00193316,-51.85
0.00193573,-51.84
0.00193831,-51.83
0.00194089,-51.82
0.00194347,-51.81
0.00194606,-51.8
0.00194865,-51.79
0.00195125,-51.78
0.00195385,-51.77
0.00195645,-51.76
0.00195905,-51.75
0.00196166,-51.74
0.00196427,-51.73
0.00196689,-51.72
0.00196951,-51.71
0.00197213,-51.7
0.00197476,-51.69
0.00197739,-51.68
0.00198002,-51.67
0.00198266,-51.66
0.0019853,-51.65
0.00198794,-51.64
0.00199059,-51.63
0.00199324,-51.62
0.00199589,-51.61
0.00199855,-51.6
0.00200121,-51.59
0.00200387,-51.58
0.00200654,-51.57
0.00200921,-51.56
0.00201189,-51.55
0.00201457,-51.54
0.00201725,-51.53
0.00201994,-51.52
0.00202263,-51.51
0.00202532,-51.5
0.00202802,-51.49
0.00203072,-51.48
0.00203342,-51.47
0.00203613,-51.46
0.00203884,-51.45
0.00204155,-51.44
0.00204427,-51.43
0.00204699,-51.42
0.00204972,-51.41
0.00205245,-51.4
0.00205518,-51.39
0.00205792,-51.38
0.00206066,-51.37
0.0020634,-51.36
0.00206615,-51.35
0.0020689,-51.34
0.00207166,-51.33
0.00207441,-51.32
0.00207718,-51.31
0.00207994,-51.3
0.00208271,-51.29
0.00208548,-51.28
0.00208826,-51.27
0.00209104,-51.26
0.00209383,-51.25
0.00209661,-51.24
0.0020994,-51.23
0.0021022,-51.22
0.002105,-51.21
0.0021078,-51.2
0.00211061,-51.19
0.00211342,-51.18
0.00211623,-51.17
0.00211905,-51.16
0.00212187,-51.15
0.0021247,-51.14
0.00212752,-51.13
0.00213036,-51.12
0.00213319,-51.11
0.00213603,-51.1
0.00213888,-51.09
0.00214172,-51.08
0.00214458,-51.07
0.00214743,-51.06
